순번,RAPA식별코드,공사명,건물명/도로명,본부,시도,시군구,읍면동,주소,세대수,동수,관로동,위도,경도,폴리곤확보여부,단지건물수(폴리곤),건물데이터출처,도면보유여부,분석상태,종합커버리지(%),설치Site수,설치Sector수,분석소요시간(초),분석일시(KST),분석출처,특이사항/에러,사업년도,준공예정일,준공사
111,m-RAPA-2410-2977,마평동 734-1 공동주택(아파트) 신축공사,-,수도권,경기도,용인시 처인구,마평동,경기도 용인시 처인구 마평동 734 1,68,1,1. 지상1층 : D.A 상부 인근,37.2360294,127.210616,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-08-30,RAPA
112,m-RAPA-2111-6916,충북 음성 대소 삼정지구 A2BL 공공지원 민간임대주택 신축공사,충북음성대소삼정지구2BL,중부,충청북도,음성군,대소면,충청북도 음성군 대소면 삼정리 음성 대소 삼정지구 도시개발구역 A2,465,4,미지정,36.9615393,127.4924161,미확보,0,error,미보유,완료 (OK),59.1,3,7,1,2026-08-17 22:14:26,배치(자동),,2027,2027-08-30,-
113,m-SK-2608-0782,음성 석미아데나 센트럴 신축공사,음성 석미아데나 센트럴,중부,충청북도,음성군,음성읍,충청북도 음성군 음성읍 419,0,3,미지정,-,-,미확보,0,,미보유,미분석,,,,,,,,2027,2027-08-30,-
114,m-RAPA-2206-3699,소사역롯데캐슬더뉴엘아파트,소사역롯데캐슬더뉴엘아파트,수도권,경기도,부천시 소사구,소사본동,경기도 부천시 소사구 소사본동 134,983,6,"101,103,105",37.47898267,126.8014025,확보,220,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-08-29,LGU+
115,m-RAPA-2311-4076,힐스테이트도안리버파크1단지,힐스테이트도안리버파크1단지,중부,대전광역시,유성구,학하동,대전광역시 유성구 학하동 대전 도안 2-2지구 도시개발사업 SA5,1124,11,"102,105,107,108,109,000,000",36.330729,127.324767,확보,56,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-08-27,KT
116,m-RAPA-2312-4180,대전 도안 2-2지구 도시개발사업지 내 공동주택 SA1BL 신축공사,힐스테이트 도안리버파크 2차,중부,대전광역시,유성구,복용동,대전광역시 유성구 복용동 대전 도안 2-2지구 도시개발사업 SA1,443,6,미지정,36.33544305,127.3267033,확보,68,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-08-27,RAPA
117,m-RAPA-2402-0544,송도동21-30아파트신축공사,인천 송도 스카이 루리안 아파트,수도권,인천광역시,연수구,송도동,인천광역시 연수구 송도동 21 30,48,1,미지정,37.39557025,126.6459929,확보,1,dxf_extraction(m-RAPA-2402-0544.dxf 옥외배치도),미보유,미분석,,,,,,,,2027,2027-08-26,RAPA
118,m-RAPA-1909-4801,광안센텀비스타동원아파트,광안센텀비스타동원아파트,동부,부산광역시,수영구,광안동,부산광역시 수영구 광안동 971,525,7,"102,105,106",35.16769585,129.108579,확보,483,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-08-24,LGU+
119,m-RAPA-2112-7957,힐스테이트천안역스카이움오피스텔,힐스테이트천안역스카이움오피스텔,중부,충청남도,천안시 서북구,성정동,충청남도 천안시 서북구 성정동 209 1,0,1,미지정,36.80927572,127.1418962,확보,313,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-08-23,LGU+
120,m-RAPA-2310-3787,경기도 광주 태전2지구 B1블럭 경남아너스빌 신축공사,광주태전 경남아너스빌 리미티드,수도권,경기도,광주시,장지동,경기도 광주시 장지동 695 14,404,4,미지정,37.389604,127.23425,확보,61,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-08-22,LGU+
121,m-RAPA-2209-5359,북수원이목지구디에트르더리체1차아파트,북수원이목지구디에트르더리체1차아파트,수도권,경기도,수원시 장안구,이목동,경기도 수원시 장안구 이목동 종전부동산 이목지구 도시개발구역 A4,768,8,"201,202,204,206",37.306881,126.979036,확보,23,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-08-17,LGU+
122,m-RAPA-1907-3796,대전르에브스위첸1단지,대전르에브스위첸1단지,중부,대전광역시,중구,대흥동,대전광역시 중구 대흥동 385 15,440,4,미지정,36.32017015,127.4270247,확보,140,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-08-17,-
123,m-RAPA-1907-3797,대전르에브스위첸2단지,대전르에브스위첸2단지,중부,대전광역시,중구,대흥동,대전광역시 중구 대흥동 385 15,838,7,"203,204,205,207",36.32057171,127.428135,확보,265,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-08-17,-
124,m-RAPA-1911-6347,천안신부지구(행복)공동주택 건설공사,천안신부 행복주택,중부,충청남도,천안시 동남구,신부동,충청남도 천안시 동남구 신부동 72 16,587,4,"102,103",36.81562207,127.1601247,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-08-17,KT
125,m-RAPA-2302-0778,오산시 양산3구역 공동주택 신축공사,힐스테이트 오산더클래스,수도권,경기도,오산시,양산동,경기도 오산시 양산동 10 2,970,12,"102,106,108,112",37.19885653,127.0341127,확보,76,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-08-16,KT
126,m-RAPA-2409-2568,강동구 고덕 강일지구 12BL 공동주택 신축공사,고덕 대성베르힐,수도권,서울특별시,강동구,상일동,서울특별시 강동구 상일동 43,613,13,"104,105,106,107,108,000",37.55275417,127.1791307,확보,49,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-08-14,KT
127,m-RAPA-2208-4674,전주시 덕진구 인후동2가 주상복합 건립사업,전주 인후동 마루힐 센트럴,서부,전북특별자치도,전주시 덕진구,인후동2가,전북특별자치도 전주시 덕진구 인후동2가 1560,199,3,미지정,35.84610528,127.1484479,확보,218,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-08-12,RAPA
128,m-RAPA-2105-2717,전라남도 순천시 덕암동 공동주택 신축공사,순천 덕암동 지에이그린웰 하이드원,서부,전남광주통합특별시,순천시,덕암동,전남광주통합특별시 순천시 덕암동 45,475,8,미지정,34.94470709,127.5111152,확보,291,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-08-12,RAPA
129,m-SK-2608-0783,충북혁신(클러스터)아파트 건설공사 1공구,충북혁신(클러스터)아파트,중부,충청북도,음성군,맹동면,충청북도 음성군 맹동면 동성리 535,0,2,미지정,-,-,미확보,0,,미보유,미분석,,,,,,,,2027,2027-08-09,-
130,m-RAPA-2304-1269,용인푸르지오원클러스터1단지아파트,용인푸르지오원클러스터1단지아파트,수도권,경기도,용인시 처인구,남동,경기도 용인시 처인구 남동 126 13,1681,14,"10,021,004,100,510,000,000,000,000,000,000",37.221131,127.216597,확보,39,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-08-07,LGU+
131,m-RAPA-1801-03-02-412,송림6구역 도시환경정비사업 주상복합계획,리아츠 더 인천,수도권,인천광역시,제물포구,송림동,인천광역시 제물포구 송림동 31 3,378,1,미지정,37.47814205,126.6505547,확보,102,complex_polygon+buffer0.0015,미보유,완료 (OK),68.8,2,4,36,2026-09-05 01:19:12,배치(자동),,2027,2027-08-01,SKT
132,m-RAPA-2210-5659,이천롯데캐슬센트럴페라즈스카이,이천롯데캐슬센트럴페라즈스카이,수도권,경기도,이천시,안흥동,경기도 이천시 안흥동 284 2,0,1,"101,102,103",37.27530167,127.4559106,확보,49,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-08-01,LGU+
133,m-RAPA-2309-3155,음성 석미 아데나 신축공사,음성 석미아데나 센트럴,중부,충청북도,음성군,음성읍,충청북도 음성군 음성읍 읍내리 419,245,3,미지정,36.92921759,127.6856735,확보,82,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-07-31,RAPA
134,m-RAPA-2402-0423,송정 리버파크지역주택조합 아파트 신축공사,한양립스 에듀포레,서부,전남광주통합특별시,광산구,하산동,전남광주통합특별시 광산구 하산동 269,470,10,미지정,35.09852158,126.7710211,확보,173,complex_polygon+buffer0.0015,미보유,완료 (OK),63.1,2,5,268,2026-09-07 05:38:13,배치(자동),,2027,2027-07-31,RAPA
135,m-RAPA-2010-5635,성남금토 공공주택지구 내 A-4BL,성남금토 A-4블록 신혼희망타운,수도권,경기도,성남시 수정구,금토동,경기도 성남시 수정구 금토동 성남금토 공공주택지구 A-4,1150,11,"401,403,404,406,408,000",37.40643948,127.0838391,확보,31,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-07-30,SKT
136,m-RAPA-2411-3075,신 반포22차 재건축 현장,힐스테이트 신반포22차,수도권,서울특별시,서초구,잠원동,서울특별시 서초구 잠원동 65 33,160,2,미지정,37.51166731,127.007248,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-07-30,RAPA
137,m-RAPA-2410-2984,e편한세상대장퍼스티움아파트(A6),e편한세상대장퍼스티움아파트(A6),수도권,경기도,부천시 오정구,오정동,경기도 부천시 오정구 오정동 부천대장 공공주택지구 A6,688,12,"602,605,607,609,610,000",37.53476296,126.7904836,확보,39,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-07-30,LGU+
138,m-RAPA-2410-2983,e편한세상대장퍼스티움아파트(A5),e편한세상대장퍼스티움아파트(A5),수도권,경기도,부천시 오정구,오정동,경기도 부천시 오정구 오정동 부천대장 공공주택지구 A5,952,15,"502,504,506,509,510,000,000",37.53591899,126.7920417,확보,37,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-07-30,KT
139,m-RAPA-2407-1978,과천지식정보타운 S12BL 행복주택 건설공사,과천지식정보타운 S-12BL 행복주택,수도권,경기도,과천시,갈현동,경기도 과천시 갈현동 578,1424,4,"10,241,203",37.41013,126.977567,미확보,0,error,미보유,경고 (WARN),0.0,0,0,1,2026-08-17 22:14:26,배치(자동),커버리지 0% (배치 대상 베란다/후보점 부재 또는 목표 커버리지 미도달),2027,2027-07-30,LGU+
140,m-RAPA-2109-5951,경남 고성 교사리 94 아파트 신축공사,고성 이솔레나,동부,경상남도,고성군,고성읍,경상남도 고성군 고성읍 교사리 94,161,3,1.지상1층: 지하주차장 상부 지하층 환기부(10M도로향),34.97486822,128.3125944,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-07-30,RAPA
141,m-RAPA-2207-3968,더샵오창프레스티지,더샵오창프레스티지,중부,충청북도,청주시 청원구,오창읍,충청북도 청주시 청원구 오창읍 양청리 814 2,0,6,"102,103,104",36.71132051,127.4326153,확보,51,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-07-29,SKT
142,m-RAPA-1901-0082,더샵분당티에르원아파트,더샵분당티에르원아파트,수도권,경기도,성남시 분당구,정자동,경기도 성남시 분당구 정자동 88,873,12,"307,311",37.36759671,127.1112853,확보,187,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-07-29,LGU+
143,m-RAPA-2311-3969,청주테크노폴리스 일반산업단지 [8블록] 공동주택,청주테크노폴리스 아테라,중부,충청북도,청주시 흥덕구,송절동,충청북도 청주시 흥덕구 송절동 청주테크노폴리스 일반산업단지 A8,1450,17,"803,805,809,810,811,000,000",36.66671857,127.4604921,확보,76,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-07-29,SKT
144,m-RAPA-2304-1244,중앙공원롯데캐슬시그니처2-2BL,중앙공원롯데캐슬시그니처2-2BL,서부,전남광주통합특별시,서구,풍암동,전남광주통합특별시 서구 풍암동 569,928,14,"202,203,206,207,208,000,000,000",35.12531533,126.8618178,확보,175,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-07-25,-
145,m-RAPA-2304-1243,중앙공원롯데캐슬시그니처2-1BL,중앙공원롯데캐슬시그니처2-1BL,서부,전남광주통합특별시,서구,금호동,전남광주통합특별시 서구 금호동 80,915,13,"101,102,103,104,106,000,000,000",35.12709535,126.8594737,확보,77,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-07-25,-
146,m-RAPA-2304-1398,중앙공원롯데캐슬시그니처1BL,중앙공원롯데캐슬시그니처1BL,서부,전남광주통합특별시,서구,풍암동,전남광주통합특별시 서구 풍암동 560 9,929,12,"102,106,109,110",35.13604642,126.8687907,확보,43,complex_polygon+buffer0.0015,미보유,완료 (OK),65.5,3,8,87,2026-09-07 05:36:54,배치(자동),,2027,2027-07-24,-
147,m-RAPA-2012-6592,성수동 장미아파트 주택재건축정비사업,-,수도권,서울특별시,성동구,성수동1가,서울특별시 성동구 성수동1가 656 421,286,3,미지정,37.54296699,127.0461343,확보,146,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-07-22,RAPA
148,m-RAPA-2209-5495,시흥롯데캐슬시그니처2블록아파트,시흥롯데캐슬시그니처2블록아파트,수도권,경기도,시흥시,은행동,경기도 시흥시 은행동 은행2 지구단위계획 C-2,903,6,"202,204,206",37.43245923,126.7936842,확보,290,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-07-20,KT
149,m-RAPA-2209-5494,시흥롯데캐슬시그니처1블록아파트,시흥롯데캐슬시그니처1블록아파트,수도권,경기도,시흥시,은행동,경기도 시흥시 은행동 은행2 지구단위계획 C-1,1230,8,"101,103,105,107",37.434903,126.794841,확보,242,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-07-20,KT
150,m-RAPA-2202-0621,해링턴S98아파트,해링턴S98아파트,수도권,서울특별시,강남구,삼성동,서울특별시 강남구 삼성동 98,118,3,미지정,37.5174861,127.063475,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-07-15,-
151,m-RAPA-2302-0463,계양롯데캐슬파크시티2단지_아파트,계양롯데캐슬파크시티2단지_아파트,수도권,인천광역시,계양구,효성동,인천광역시 계양구 효성동 효성 도시개발구역 공4,1089,10,"10,021,004,100,510,000,000",37.53029577,126.7030653,확보,103,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-07-14,LGU+
152,m-RAPA-2110-6520,철원갈말 행복주택 건설공사,철원갈말 행복주택,수도권,강원특별자치도,철원군,갈말읍,강원특별자치도 철원군 갈말읍 신철원리 641 6,96,2,1. 지상1층 : D.A 외벽,38.14464721,127.3117877,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-07-14,RAPA
153,m-RAPA-2203-1644,가평 달전리 284-7 아파트,자라섬 수자인 리버페스타,수도권,경기도,가평군,가평읍,경기도 가평군 가평읍 달전리 284 7,381,2,미지정,37.81288129,127.5209899,확보,104,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-07-11,RAPA
154,m-RAPA-2208-4608,충북혁신 클러스터 공공주택 건설사업,충북혁신(클러스터),중부,충청북도,음성군,맹동면,충청북도 음성군 맹동면 동성리 535,300,2,미지정,36.91750156,127.5468115,미확보,0,error,미보유,완료 (OK),66.9,3,4,3,2026-08-17 22:14:28,배치(자동),,2027,2027-07-09,RAPA
155,m-RAPA-2007-3684,노량진역세권청년주택아파트,노량진역세권청년주택아파트,수도권,서울특별시,동작구,노량진동,서울특별시 동작구 노량진동 13 19,967,2,미지정,37.51464032,126.9349325,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-07-09,KT
156,m-RAPA-2401-0181,곤지암역제일풍경채아파트,곤지암역제일풍경채아파트,수도권,경기도,광주시,곤지암읍,경기도 광주시 곤지암읍 곤지암리 곤지암역세권 도시개발구역 A1,565,7,"101,105,107",37.352299,127.341221,확보,96,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-07-08,SKT
157,m-RAPA-2203-1338,오산시 양산2구역 공동주택 신축공사,오산 롯데캐슬 위너스 포레,수도권,경기도,오산시,양산동,경기도 오산시 양산동 95,1672,16,"102,104,106,108,110,000",37.19117565,127.0319637,확보,55,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-07-08,LGU+
158,m-RAPA-2109-5973,한화포레나충주호암아파트,한화포레나충주호암아파트,중부,충청북도,충주시,호암동,충청북도 충주시 호암동 193 2,847,8,"102,104,106,107",36.958617,127.937442,확보,144,complex_polygon+buffer0.0015,미보유,완료 (OK),64.3,2,5,333,2026-09-07 05:42:27,배치(자동),,2027,2027-07-08,LGU+
159,m-RAPA-2201-0422,부천시 대현청실 외 2 가로주택 정비사업,대현청실 외2,수도권,경기도,부천시 소사구,괴안동,경기도 부천시 소사구 괴안동 106 1,252,5,미지정,37.48113258,126.8114255,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-07-05,RAPA
160,m-RAPA-2304-1430,전라남도 영암군 삼호읍 용앙리 1665-3번지 공동주택 신축공사,영암 대불 3차 렉시안 파크타운 아파트,서부,전남광주통합특별시,영암군,삼호읍,전남광주통합특별시 영암군 삼호읍 용앙리 1665 3,507,5,"301,302,303,304",34.75638438,126.4589328,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-07-04,KT
161,m-RAPA-2205-3045,경기도 부천시 오정동 가로주택 정비사업,부천 오정동 613 가로주택정비사업,수도권,경기도,부천시 오정구,오정동,경기도 부천시 오정구 오정동 613,200,3,미지정,37.5236657,126.7875582,확보,154,complex_polygon+buffer0.0015,미보유,완료 (OK),42.1,2,2,1,2026-08-17 23:18:55,화면(수동),,2027,2027-07-04,RAPA
162,m-RAPA-2309-3420,대구연호 A-2BL 공동주택 건설공사,대구연호 A-2BL 아파트,동부,대구광역시,수성구,이천동,대구광역시 수성구 이천동 대구연호 공공주택지구 A-2,622,4,"201,202,204",35.84208953,128.665587,미확보,0,error,미보유,경고 (WARN),0.0,0,0,1,2026-08-17 22:14:26,배치(자동),커버리지 0% (배치 대상 베란다/후보점 부재 또는 목표 커버리지 미도달),2027,2027-07-03,KT
163,m-RAPA-2202-0772,더샵속초프라임뷰,더샵속초프라임뷰,수도권,강원특별자치도,속초시,금호동,강원특별자치도 속초시 금호동 617 21,1024,8,"104,106,107,108",38.20973979,128.5729263,확보,36,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-06-30,LGU+
164,m-RAPA-2206-3717,용인둔전역에피트아파트,용인둔전역에피트아파트,수도권,경기도,용인시 처인구,포곡읍,경기도 용인시 처인구 포곡읍 금어리 646,1275,13,"101,102,105,106,113",37.265854,127.231046,확보,73,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-06-29,-
165,m-RAPA-2210-5806,김제 하동 아파트 신축공사,-,서부,전북특별자치도,김제시,하동,전북특별자치도 김제시 하동 37 10,122,2,1. 지상1층 : D.A 상부 외벽,-,-,미확보,0,,미보유,미분석,,,,,,,,2027,2027-06-29,RAPA
166,m-RAPA-1706-02-02-305,흑석9 재정비촉진구역 주택재개발 정비사업,디에이치 켄트로나인,수도권,서울특별시,동작구,흑석동,서울특별시 동작구 흑석동 90,1536,21,"101,102,104,106,108,000,000,000",-,-,미확보,0,,미보유,미분석,,,,,,,,2027,2027-06-29,SKT
167,m-RAPA-1811-7115,청주 사직3구역 주택재개발정비사업(B블럭),힐스테이트어울림청주사직2단지,중부,충청북도,청주시 서원구,사직동,충청북도 청주시 서원구 사직동 215 8,1023,9,상세참조,36.63899098,127.4809964,확보,570,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-06-29,SKT
168,m-RAPA-1811-7112,청주 사직3구역 주택재개발정비사업(A블럭),힐스테이트어울림청주사직1단지,중부,충청북도,청주시 서원구,사직동,충청북도 청주시 서원구 사직동 215 8,1307,17,상세참조,36.64135,127.481054,확보,570,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-06-29,LGU+
169,m-RAPA-1803-05-02-1032,두산위브더제니스센트럴시티,두산위브더제니스센트럴시티,동부,대구광역시,북구,학정동,대구광역시 북구 학정동 732 1,1098,14,"101,103,105,107,110,000,000",35.95424183,128.5577385,확보,79,complex_polygon+buffer0.0015,미보유,완료 (OK),64.6,3,8,55,2026-09-05 01:19:31,배치(자동),,2027,2027-06-29,-
170,m-RAPA-2106-3943,청구매일 소규모재건축,만촌 파크드림 에디움,동부,대구광역시,수성구,만촌동,대구광역시 수성구 만촌동 862 2,54,1,1. 지상1층 : D.A 상부 인근,35.85238121,128.6510438,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-06-29,RAPA
171,m-RAPA-2008-4170,숭의역엘크루아파트&오피스텔,숭의역라온프라이빗아파트,수도권,인천광역시,제물포구,신흥동3가,인천광역시 제물포구 신흥동3가 7 79,608,4,미지정,37.463002,126.633676,확보,147,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-06-29,LGU+
172,m-RAPA-2305-1889,동두천시 송라지구 A-1BL 공동주택 신축공사,빌리브 라디체,수도권,경기도,동두천시,송내동,경기도 동두천시 송내동 517 1,896,7,"103,106,107",37.87853234,127.0547506,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-06-29,KT
173,m-RAPA-2311-4001,울산태화강변A-2BL 공동주택 신축공사,울산태화강변지구 A-2블록,동부,울산광역시,울주군,범서읍,울산광역시 울주군 범서읍 굴화리 울산태화강변 공공주택지구 A-2,435,8,"201,202,203,204,208",35.5596755,129.259785,확보,18,complex_polygon+buffer0.0015,미보유,완료 (OK),69.8,2,5,113,2026-09-07 05:31:54,배치(자동),,2027,2027-06-29,SKT
174,m-RAPA-2103-1408,구미대광로제비앙아파트,구미대광로제비앙아파트,동부,경상북도,구미시,산동읍,경상북도 구미시 산동읍 동곡리 60 3,2740,31,"101,104,106,107,109,000,000,000,000,000,000,000,000,000,000",36.182579,128.443824,확보,46,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-06-27,LGU+
175,m-RAPA-2107-4632,대구연호지구 A3BL 공동주택 건설사업,대구연호 A3,동부,대구광역시,수성구,연호동,대구광역시 수성구 연호동 대구연호 공공주택지구 A3,526,6,"301,303,306",35.84089294,128.6740395,미확보,0,error,미보유,완료 (OK),48.7,1,1,1,2026-08-17 22:14:24,배치(자동),,2027,2027-06-21,LGU+
176,m-RAPA-1903-1809,새울본부 직원사택 신축 설계용역,새울본부 직원사택,동부,울산광역시,울주군,서생면,울산광역시 울주군 서생면 신암리 23 1,231,12,"601,612",35.35206721,129.3331659,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-06-17,RAPA
177,m-RAPA-2107-4333,시흥동 현대아파트 주택재건축 정비사업,시흥동 현대아파트,수도권,서울특별시,금천구,시흥동,서울특별시 금천구 시흥동 220 2,219,5,미지정,37.45358327,126.9136515,확보,213,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-06-10,RAPA
178,m-RAPA-2307-2472,순천그랜드파크자이,순천그랜드파크자이,서부,전남광주통합특별시,순천시,풍덕동,전남광주통합특별시 순천시 풍덕동 순천 풍덕지구 도시개발사업 1-2,997,9,"202,204,207,209",34.93592043,127.508605,확보,25,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-06-10,-
179,m-RAPA-2402-0467,다운2지구우미린어반파크아파트,다운2지구우미린어반파크아파트,동부,울산광역시,중구,다운동,울산광역시 중구 다운동 302 4,731,11,"102,103,104,105,108,000",35.58161792,129.2678447,확보,16,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-06-10,SKT
180,m-RAPA-2412-3487,범천동854-7 주상복합 신축공사,범천동 854-7 주상복합 신축공사 관련 공식 건물명 또는 아파트명을 확인할 수 있는 자료가 없습니다.,동부,부산광역시,부산진구,범천동,부산광역시 부산진구 범천동 854 7,0,1,미지정,35.14762347,129.0608045,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-06-09,RAPA
181,m-RAPA-2308-2891,제천서부 공동주택 복합개발 건설공사,-,중부,충청북도,제천시,서부동,충청북도 제천시 서부동 431,42,1,1. 지상1층: 배기D.A 상부 외벽,37.13724431,128.2048432,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-06-08,RAPA
182,m-RAPA-2012-7114,창원푸르지오파크베뉴아파트,창원푸르지오파크베뉴아파트,동부,경상남도,창원시 성산구,가음동,경상남도 창원시 성산구 가음동 24 1,570,4,"102,104",35.20692152,128.6961759,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-06-03,SKT
183,m-RAPA-2104-2288,양주덕정역에피트아파트,양주덕정역에피트아파트,수도권,경기도,양주시,회정동,경기도 양주시 회정동 194 1,427,4,미지정,37.834732,127.053775,확보,75,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-05-31,LGU+
184,m-RAPA-2210-5626,LH함평기산 공동주택 건설공사,함평기산공공주택,서부,전남광주통합특별시,함평군,함평읍,전남광주통합특별시 함평군 함평읍 기각리 775 1,60,1,1. 지상1층 : D.A 상부 외벽,35.06674813,126.5169762,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-05-31,RAPA
185,m-RAPA-2205-3183,서초구 서초동 1622번지 일원 가로주택정비사업,해링턴 플레이스 서초,수도권,서울특별시,서초구,서초동,서울특별시 서초구 서초동 1622 8,69,3,미지정,37.48716935,127.0160417,확보,187,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-05-30,RAPA
186,m-RAPA-2205-3099,퇴계원역1차 지역주택조합 아파트 신축공사,퇴계원역 경남아너스빌,수도권,경기도,남양주시,퇴계원읍,경기도 남양주시 퇴계원읍 퇴계원리 142 27,228,3,미지정,37.64701811,127.1480321,확보,155,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-05-30,RAPA
187,m-RAPA-2508-2083,자양동 180-4 신축공사,자양동 180-4 신축아파트,수도권,서울특별시,광진구,자양동,서울특별시 광진구 자양동 180 4,0,1,1. 지상1층 : D.A 상부 인근외벽,37.5338797,127.0613405,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-05-30,RAPA
188,m-RAPA-1812-7717,e편한세상센텀하이베뉴,e편한세상센텀하이베뉴,동부,부산광역시,해운대구,재송동,부산광역시 해운대구 재송동 1030,924,8,"102,104,105",35.19383578,129.1259767,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-05-30,SKT
189,m-RAPA-2202-0957,신화 새다움 더 클래스 공동주택 신축공사,신화 새다움 더 클래스,수도권,강원특별자치도,강릉시,홍제동,강원특별자치도 강릉시 홍제동 265 18,297,5,미지정,37.75252958,128.8809296,확보,158,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-05-30,RAPA
190,m-RAPA-2308-2961,양주백석모아엘가그랑데아파트,양주백석모아엘가그랑데아파트,수도권,경기도,양주시,백석읍,경기도 양주시 백석읍 복지리 279 1,929,9,"101,103,105,106,108",37.784715,126.986552,확보,65,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-05-30,LGU+
191,m-RAPA-1905-2967,두산위브제니스센트럴계양아파트,두산위브제니스센트럴계양아파트,수도권,인천광역시,계양구,작전동,인천광역시 계양구 작전동 439 7,1370,9,"104,106,107,109",37.52893979,126.7196673,확보,180,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-05-30,SKT
192,m-RAPA-2407-1956,원종휴먼빌클라츠아파트,원종휴먼빌클라츠아파트,수도권,경기도,부천시 오정구,원종동,경기도 부천시 오정구 원종동 부천원종 공공주택지구 B1,255,4,미지정,37.53114539,126.8008683,확보,47,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-05-30,KT
193,m-RAPA-2007-3415,'20 군관사 위탁개발사업 (대방),서울대방 신혼희망타운,수도권,서울특별시,영등포구,신길동,서울특별시 영등포구 신길동 1286,283,3,미지정,37.51171227,126.9241173,확보,157,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-05-30,RAPA
