순번,RAPA식별코드,공사명,건물명/도로명,본부,시도,시군구,읍면동,주소,세대수,동수,관로동,위도,경도,폴리곤확보여부,단지건물수(폴리곤),건물데이터출처,도면보유여부,분석상태,종합커버리지(%),설치Site수,설치Sector수,분석소요시간(초),분석일시(KST),분석출처,특이사항/에러,사업년도,준공예정일,준공사
288,m-RAPA-2111-7124,울산태화강변 A-1BL공공주택 건설공사,-,동부,울산광역시,울주군,범서읍,울산광역시 울주군 범서읍 굴화리 울산태화강변 공공주택지구 A-1,324,3,1. 지상1층 : D.A 상부 인근,35.5592919,129.2581367,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-01-23,RAPA
289,m-RAPA-2310-3718,강화 교직원 공동관사,강화교직원공동관사,수도권,인천광역시,강화군,길상면,인천광역시 강화군 길상면 온수리 118 18,80,5,1. 지하1층: 전기실 인근 건축물 외벽,37.64601975,126.4793286,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-01-20,RAPA
290,m-RAPA-2103-1663,평택 BRAIN CITY 공동 1BL 중흥 S-클래스 아파트 신축공사,평택브레인시티중흥S-클래스아파트,수도권,경기도,평택시,장안동,경기도 평택시 장안동 평택 브레인시티일반산업단지 공동1,1980,16,"103,105,106,111,114,000,000",37.0589405,127.0917105,확보,41,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-01-20,LGU+
291,m-RAPA-2212-6849,힐스테이트죽림더프라우드2BL아파트,힐스테이트죽림더프라우드2BL아파트,서부,전남광주통합특별시,여수시,소라면,전남광주통합특별시 여수시 소라면 죽림리 여수 죽림1지구 도시개발구역,931,15,"202,205,207,213,215",34.75982474,127.6386013,확보,104,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-01-14,LGU+
292,m-RAPA-2211-6124,더샵탕정인피니티시티2차아파트,더샵탕정인피니티시티2차아파트,중부,충청남도,아산시,탕정면,충청남도 아산시 탕정면 매곡리 아산 탕정지구 도시개발구역 A-3,1214,9,"301,302,303,304,305,000,000,000,000",36.79036203,127.0769253,확보,71,complex_polygon+buffer0.0015,미보유,완료 (OK),62.9,2,5,169,2026-09-07 05:44:53,배치(자동),,2027,2027-01-14,-
293,m-RAPA-2205-2845,오산세교힐데스하임_아파트,오산세교힐데스하임_아파트,수도권,경기도,오산시,벌음동,경기도 오산시 벌음동 381,715,9,"103,106,108,109",37.13893,127.039392,확보,65,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-01-14,KT
294,m-RAPA-2208-5041,전주대라수글로벌에듀,전주대라수글로벌에듀,서부,전북특별자치도,전주시 덕진구,금암동,전북특별자치도 전주시 덕진구 금암동 523 143,0,4,미지정,35.83495402,127.1369937,확보,44,complex_polygon+buffer0.0015,미보유,완료 (OK),69.9,2,4,107,2026-09-07 05:33:45,배치(자동),,2027,2027-01-14,KT
295,m-RAPA-2212-6852,힐스테이트죽림더프라우드4BL아파트,힐스테이트죽림더프라우드4BL아파트,서부,전남광주통합특별시,여수시,소라면,전남광주통합특별시 여수시 소라면 죽림리 여수 죽림1지구 도시개발구역,341,5,미지정,34.75719075,127.6389633,확보,24,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-01-14,SKT
296,m-RAPA-2106-3961,정선사북 공공주택 건설공사(국민임대주택/행복주택),정선사북행복주택,수도권,강원특별자치도,정선군,사북읍,강원특별자치도 정선군 사북읍 사북리 344 4,150,2,1. 지상1층: 휀룸 D.A 상부 외벽(2개소),37.22821965,128.8194953,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-01-11,-
297,m-RAPA-2206-3434,부천아테라자이아파트,부천아테라자이아파트,수도권,경기도,부천시 소사구,괴안동,경기도 부천시 소사구 괴안동 부천괴안 공공주택지구 B2,200,2,미지정,37.479638,126.816799,확보,40,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-01-10,KT
298,m-RAPA-2208-4753,부산장안지구디에트르디오션아파트,부산장안지구디에트르디오션아파트,동부,부산광역시,기장군,장안읍,부산광역시 기장군 장안읍 좌천리 부산장안지구 택지개발사업 B-3,507,6,"102,103,104,105,106",35.31743431,129.2385926,확보,35,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-01-04,SKT
299,m-RAPA-2004-1846,수원당수A5블록신혼희망타운아파트,수원당수A5블록신혼희망타운아파트,수도권,경기도,수원시 권선구,금곡동,경기도 수원시 권선구 금곡동 178,726,12,"501,503,510,512",37.284317,126.94523,확보,52,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-01-03,SKT
