본부,사업년도,RAPA식별코드,공사명,건물명/도로명,건물명 출처,유형,주용도,공사구분,시도,시군구,읍면동,번,지,리,시도_보정,시군구_보정,읍면동_보정,리_보정,번_보정,지_보정,대지구분,대지면적,연면적(지상),연면적(지하),연면적(합계),지상층수,지하층수,동,세대수,EV 설치 예상 대수,주차대수,세대당주차대수,도로구간(m),준공예정일,수정 준공예정일,입주자사전점검일,준공사,주소,공동망,관로동,위도,경도,RAPA등록_검증,준공예정일_검증,동수_검증,층수_검증,위경도_검증,최종검증결과
동부,2027,m-RAPA-2012-7114,창원푸르지오파크베뉴아파트,창원푸르지오파크베뉴아파트,APT,아파트,공동주택,건물,경상남도,창원시 성산구,가음동,24,1,-,-,-,-,-,-,-,대지,-,55727.8763,29540.8061,85268.6824,33,2,4,570,8,-,1.3,-,2027-06-03,-,2027-04-18,SKT,경상남도 창원시 성산구 가음동 24 1,미등록,"102,104",35.20692152,128.6961759,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2104-2288,양주덕정역에피트아파트,양주덕정역에피트아파트,APT,아파트,공동주택,건물,경기도,양주시,회정동,194,1,-,-,-,-,-,-,-,대지,-,49709.7314,21612.6105,71322.3419,39,3,4,427,8,-,1.3,-,2027-05-31,-,2027-04-15,LGU+,경기도 양주시 회정동 194 1,미등록,해당없음,37.834732,127.053775,등록,-,-,-,-,미검증
서부,2027,m-RAPA-2210-5626,LH함평기산 공동주택 건설공사,함평기산공공주택,APT,500세대 미만,-,-,전남광주통합특별시,함평군,함평읍,775,1,기각리,-,-,-,-,-,-,대지,-,3975.78,593.98,4569.76,9,1,1,60,2,-,1.3,-,2027-05-31,-,2027-04-14,RAPA,전남광주통합특별시 함평군 함평읍 기각리 775 1,LGU+,1. 지상1층 : D.A 상부 외벽,35.06674813,126.5169762,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2205-3183,서초구 서초동 1622번지 일원 가로주택정비사업,해링턴 플레이스 서초,APT,500세대 미만,-,-,서울특별시,서초구,서초동,1622,8,-,-,-,-,-,-,-,대지,-,7167.3554,5362.2575,12529.6129,7,3,3,69,6,-,1.3,-,2027-05-30,-,2027-04-14,RAPA,서울특별시 서초구 서초동 1622 8,미등록,해당없음,37.48716935,127.0160417,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2205-3099,퇴계원역1차 지역주택조합 아파트 신축공사,퇴계원역 경남아너스빌,APT,500세대 미만,-,-,경기도,남양주시,퇴계원읍,142,27,퇴계원리,-,-,-,-,-,-,대지,-,21372.7379,11423.7722,32796.5101,29,2,3,228,6,-,1.3,-,2027-05-30,-,2027-04-14,RAPA,경기도 남양주시 퇴계원읍 퇴계원리 142 27,단독,해당사항없음,37.64701811,127.1480321,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2508-2083,자양동 180-4 신축공사,자양동 180-4 신축아파트,APT,일반,-,-,서울특별시,광진구,자양동,180,4,-,-,-,-,-,-,-,대지,-,2441.67,428.7,2870.37,12,1,1,0,2,-,1.3,-,2027-05-30,-,2027-04-15,RAPA,서울특별시 광진구 자양동 180 4,미등록,1. 지상1층 : D.A 상부 인근외벽,37.5338797,127.0613405,등록,-,-,-,-,미검증
동부,2027,m-RAPA-1812-7717,e편한세상센텀하이베뉴,e편한세상센텀하이베뉴,APT,아파트,공동주택,건물,부산광역시,해운대구,재송동,1030,-,-,-,-,-,-,-,-,대지,-,82644.8345,47705.216,130350.0505,34,6,8,924,16,-,1.3,-,2027-05-30,-,2027-04-14,SKT,부산광역시 해운대구 재송동 1030,미등록,"102,104,105",35.19383578,129.1259767,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2202-0957,신화 새다움 더 클래스 공동주택 신축공사,신화 새다움 더 클래스,APT,500세대 미만,-,-,강원특별자치도,강릉시,홍제동,265,18,-,-,-,-,-,-,-,대지,-,29925.1527,20924.2506,50849.4033,26,2,5,297,10,-,1.3,-,2027-05-30,-,2027-04-15,RAPA,강원특별자치도 강릉시 홍제동 265 18,단독,해당없음,37.75252958,128.8809296,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2308-2961,양주백석모아엘가그랑데아파트,양주백석모아엘가그랑데아파트,APT,아파트,공동주택,건물,경기도,양주시,백석읍,279,1,복지리,-,-,-,-,-,-,대지,-,49379.54,107219.62,156599.16,28,2,9,929,18,1388,1.49,-,2027-05-30,-,2027-04-14,LGU+,경기도 양주시 백석읍 복지리 279 1,단독,"101,103,105,106,108",37.784715,126.986552,등록,상이(웹검색결과: 2027.10),동일,동일,동일,준공예정일 확인 필요
수도권,2027,m-RAPA-1905-2967,두산위브제니스센트럴계양아파트,두산위브제니스센트럴계양아파트,APT,아파트,공동주택,건물,인천광역시,계양구,작전동,439,7,-,-,-,-,-,-,-,대지,-,132006.0506,61196.6027,193202.6533,39,3,9,1370,18,-,1.3,-,2027-05-30,-,2027-04-14,SKT,인천광역시 계양구 작전동 439 7,미등록,"104,106,107,109",37.52893979,126.7196673,등록,-,-,-,-,미검증
